reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rmg_rxn_10773,RMG,[O-][N+](=[N])C,CCCOC,5,2,2,False,6,1,0
rmg_rxn_10774,RMG,CCCOC,[CH2]COCCC,9,0,2,False,9,0,0
rmg_rxn_10775,RMG,CC[O],CCCOC,6,0,2,False,6,0,0
rmg_rxn_10776,RMG,[CH2]CN=O,CCCOC,6,1,2,False,6,1,0
rmg_rxn_10777,RMG,C1COCOC1,C[CH]COC,8,0,3,False,10,0,0
rmg_rxn_10778,RMG,C[CH]COC,CCCOCC,9,0,2,False,9,0,0
rmg_rxn_10779,RMG,CCCOC,[CH2]CCOCC,9,0,2,False,9,0,0
rmg_rxn_10780,RMG,C1COCOC1,C[CH]COC,8,0,3,False,10,0,0
rmg_rxn_10781,RMG,C[CH]COC,CCCOCC,9,0,2,False,9,0,0
rmg_rxn_10782,RMG,[CH2]COCC,CCCOC,8,0,2,False,8,0,0
rmg_rxn_10783,RMG,CCC[O],CCCOC,7,0,2,False,7,0,0
rmg_rxn_10784,RMG,C[CH]COC,CCCOCC,9,0,2,False,9,0,0
rmg_rxn_10785,RMG,[CH]=CC,CCCOC,7,0,1,False,5,1,0
rmg_rxn_10786,RMG,[CH2]C[N]O,CCCOC,6,1,2,False,7,0,0
rmg_rxn_10787,RMG,[O-][NH+]([NH])C,C[CH]COC,5,2,2,False,7,0,0
rmg_rxn_10788,RMG,CCCOC,[C]1=CC=C[CH]C1,10,0,1,False,8,2,0
rmg_rxn_10789,RMG,[C]#N,CCCOC,5,1,1,False,4,0,1
rmg_rxn_10790,RMG,C[CH]COC,[CH]1C=CC=CC1,10,0,1,False,8,2,0
rmg_rxn_10791,RMG,C[C]=CC,CCCOC,8,0,1,False,6,1,0
rmg_rxn_10792,RMG,[O-][NH+]([NH])[CH2],CCCOC,5,2,2,False,7,0,0
rmg_rxn_10793,RMG,[C]#CC,CCCOC,7,0,1,False,5,0,1
rmg_rxn_10794,RMG,[CH2]CC[O],CCCOC,7,0,2,False,7,0,0
rmg_rxn_10795,RMG,[CH2]CC[O],CCCOC,7,0,2,False,7,0,0
rmg_rxn_10796,RMG,[CH2]CCOC=O,CCCOC,8,0,3,False,8,1,0
rmg_rxn_10797,RMG,[O],CCCOC,4,0,2,False,4,0,0
rmg_rxn_10798,RMG,[O-][NH+]=O,C[CH]COC,4,1,3,False,5,1,0
rmg_rxn_10799,RMG,ON=O,C[CH]COC,4,1,3,False,5,1,0
rmg_rxn_10800,RMG,COCCC=O,C[CH]COC,8,0,3,False,8,1,0
rmg_rxn_10801,RMG,C[CH]COC,[CH2]OCCCO,8,0,3,False,9,0,0
rmg_rxn_10802,RMG,[CH2]CO[CH2],CCCOC,7,0,2,False,7,0,0
rmg_rxn_10803,RMG,C[CH]COC,[CH2]CCOCO,8,0,3,False,9,0,0
rmg_rxn_10804,RMG,C[CH]COC,[CH2]CCOCO,8,0,3,False,9,0,0
rmg_rxn_10805,RMG,C[CH]COC,CCCOC[O],8,0,3,False,9,0,0
rmg_rxn_10806,RMG,C=CCOC[O],CCCOC,8,0,3,False,8,1,0
rmg_rxn_10807,RMG,C[CH]COC,[CH2]OCCCO,8,0,3,False,9,0,0
rmg_rxn_10808,RMG,C[CH]COC,[CH2]OCCCO,8,0,3,False,9,0,0
rmg_rxn_10809,RMG,CN=N,C[CH]COC,5,2,1,False,5,1,0
rmg_rxn_10810,RMG,C[CH]COC,COCCC[O],8,0,3,False,9,0,0
rmg_rxn_10811,RMG,C[CH]COC,COCCC[O],8,0,3,False,9,0,0
rmg_rxn_10812,RMG,C[CH]COC,CCCOC[O],8,0,3,False,9,0,0
rmg_rxn_10813,RMG,[NH-][NH+]=CCC,C[CH]COC,7,2,1,False,7,1,0
rmg_rxn_10814,RMG,[N-]=[NH+]CCC,C[CH]COC,7,2,1,False,7,1,0
rmg_rxn_10815,RMG,[NH2],C[CH]COC,4,1,1,False,4,0,0
rmg_rxn_10816,RMG,[N-]=[NH+]C(=[C]C)C,CCCOC,8,2,1,False,7,2,0
rmg_rxn_10817,RMG,[CH2]C[CH2],CCCOC,7,0,1,False,6,0,0
rmg_rxn_10818,RMG,[CH2]C[O],CCCOC,6,0,2,False,6,0,0
rmg_rxn_10819,RMG,[CH2]C[O],CCCOC,6,0,2,False,6,0,0
rmg_rxn_10820,RMG,[CH2]CS,CCCOC,6,0,1,False,6,0,0
rmg_rxn_10821,RMG,ON1CC1,C[CH]COC,6,1,2,False,8,0,0
rmg_rxn_10822,RMG,[O-][NH+]1CC1,C[CH]COC,6,1,2,False,8,0,0
rmg_rxn_10823,RMG,[CH2],CCCOC,5,0,1,False,4,0,0
rmg_rxn_10824,RMG,CN=N,C[CH]COC,5,2,1,False,5,1,0
rmg_rxn_10825,RMG,[CH2]CCO[CH2],CCCOC,8,0,2,False,8,0,0
rmg_rxn_10826,RMG,C[CH]COC,[CH2]CCOC,8,0,2,False,8,0,0
rmg_rxn_10827,RMG,CC(=C=C)NN,C[CH]COC,8,2,1,False,7,2,0
