RXN,RUN,SUCCESS,CHECKED,MOVED,ERROR
rmg_rxn_445,False,False,False,True,False
rmg_rxn_446,False,False,False,True,False
rmg_rxn_447,False,False,False,True,False
rmg_rxn_448,False,False,False,True,False
rmg_rxn_449,False,False,False,True,False
rmg_rxn_450,False,False,False,True,False
rmg_rxn_451,False,False,False,True,False
rmg_rxn_452,False,False,False,True,False
rmg_rxn_453,False,False,False,True,False
rmg_rxn_454,False,False,False,True,False
rmg_rxn_455,False,False,False,True,False
rmg_rxn_456,False,False,False,True,False
rmg_rxn_457,False,False,False,True,False
rmg_rxn_458,False,False,False,True,False
rmg_rxn_459,False,False,False,True,False
rmg_rxn_460,False,False,False,True,False
rmg_rxn_461,False,False,False,True,False
rmg_rxn_462,False,False,False,True,False
rmg_rxn_463,False,False,False,True,False
rmg_rxn_464,False,False,False,True,False
rmg_rxn_465,False,False,False,True,False
rmg_rxn_466,False,False,False,True,False
rmg_rxn_467,False,False,False,True,False
rmg_rxn_468,False,False,False,True,False
rmg_rxn_469,False,False,False,True,False
rmg_rxn_470,False,False,False,True,False
rmg_rxn_471,False,False,False,True,False
rmg_rxn_472,False,False,False,True,False
rmg_rxn_473,False,False,False,True,False
rmg_rxn_474,False,False,False,True,False
rmg_rxn_475,False,False,False,True,False
rmg_rxn_476,False,False,False,True,False
rmg_rxn_477,False,False,False,True,False
rmg_rxn_478,False,False,False,True,False
rmg_rxn_479,False,False,False,True,False
rmg_rxn_480,False,False,False,True,False
rmg_rxn_481,False,False,False,True,False
rmg_rxn_482,False,False,False,True,False
rmg_rxn_483,False,False,False,True,False
rmg_rxn_484,False,False,False,True,False
rmg_rxn_485,False,False,False,False,False
rmg_rxn_486,False,False,False,False,False
rmg_rxn_487,False,False,False,False,False
rmg_rxn_488,False,False,False,False,False
rmg_rxn_489,False,False,False,False,False
rmg_rxn_490,False,False,False,False,False
rmg_rxn_491,False,False,False,False,False
rmg_rxn_492,False,False,False,False,False
rmg_rxn_493,False,False,False,False,False
rmg_rxn_494,False,False,False,False,False
rmg_rxn_495,False,False,False,False,False
rmg_rxn_496,False,False,False,False,False
rmg_rxn_497,False,False,False,False,False
rmg_rxn_498,False,False,False,False,False
rmg_rxn_499,False,False,False,False,False
rmg_rxn_500,False,False,False,False,False
rmg_rxn_501,False,False,False,False,False
rmg_rxn_502,False,False,False,False,False
rmg_rxn_503,False,False,False,False,False
rmg_rxn_504,False,False,False,False,False
rmg_rxn_505,False,False,False,False,False
rmg_rxn_506,False,False,False,False,False
rmg_rxn_507,False,False,False,False,False
rmg_rxn_508,False,False,False,False,False
rmg_rxn_509,False,False,False,False,False
rmg_rxn_510,False,False,False,False,False
rmg_rxn_511,False,False,False,False,False
rmg_rxn_512,False,False,False,False,False
rmg_rxn_513,False,False,False,False,False
rmg_rxn_514,False,False,False,False,False
rmg_rxn_515,False,False,False,False,False
rmg_rxn_516,False,False,False,False,False
rmg_rxn_517,False,False,False,False,False
rmg_rxn_518,False,False,False,False,False
rmg_rxn_519,False,False,False,False,False
rmg_rxn_520,False,False,False,False,False
rmg_rxn_521,False,False,False,False,False
rmg_rxn_522,False,False,False,False,False
rmg_rxn_523,False,False,False,False,False
rmg_rxn_524,False,False,False,False,False
rmg_rxn_525,False,False,False,False,False
rmg_rxn_526,False,False,False,False,False
rmg_rxn_527,False,False,False,False,False
rmg_rxn_528,False,False,False,False,False
rmg_rxn_529,False,False,False,False,False
rmg_rxn_530,False,False,False,False,False
rmg_rxn_531,False,False,False,False,False
rmg_rxn_532,False,False,False,False,False
rmg_rxn_533,False,False,False,False,False
rmg_rxn_534,False,False,False,False,False
rmg_rxn_535,False,False,False,False,False
rmg_rxn_536,False,False,False,False,False
rmg_rxn_537,False,False,False,False,False
rmg_rxn_538,False,False,False,False,False
rmg_rxn_539,False,False,False,False,False
rmg_rxn_540,False,False,False,False,False
rmg_rxn_541,False,False,False,False,False
rmg_rxn_542,False,False,False,False,False
rmg_rxn_543,False,False,False,False,False
rmg_rxn_544,False,False,False,False,False
rmg_rxn_545,False,False,False,False,False
rmg_rxn_546,False,False,False,False,False
rmg_rxn_547,False,False,False,False,False
rmg_rxn_548,False,False,False,False,False
rmg_rxn_549,False,False,False,False,False
rmg_rxn_550,False,False,False,False,False
rmg_rxn_551,False,False,False,False,False
rmg_rxn_552,False,False,False,False,False
rmg_rxn_553,False,False,False,False,False
rmg_rxn_554,False,False,False,False,False
rmg_rxn_555,False,False,False,False,False
rmg_rxn_556,False,False,False,False,False
rmg_rxn_557,False,False,False,False,False
rmg_rxn_558,False,False,False,False,False
rmg_rxn_559,False,False,False,False,False
rmg_rxn_560,False,False,False,False,False
rmg_rxn_561,False,False,False,False,False
rmg_rxn_562,False,False,False,False,False
rmg_rxn_563,False,False,False,False,False
rmg_rxn_564,False,False,False,False,False
rmg_rxn_565,False,False,False,False,False
rmg_rxn_566,False,False,False,False,False
rmg_rxn_567,False,False,False,False,False
rmg_rxn_568,False,False,False,False,False
rmg_rxn_569,False,False,False,False,False
rmg_rxn_570,False,False,False,False,False
rmg_rxn_571,False,False,False,False,False
rmg_rxn_572,False,False,False,False,False
rmg_rxn_573,False,False,False,False,False
rmg_rxn_574,False,False,False,False,False
rmg_rxn_575,False,False,False,False,False
rmg_rxn_576,False,False,False,False,False
rmg_rxn_577,False,False,False,False,False
rmg_rxn_578,False,False,False,False,False
rmg_rxn_579,False,False,False,False,False
rmg_rxn_580,False,False,False,False,False
rmg_rxn_581,False,False,False,False,False
rmg_rxn_582,False,False,False,False,False
rmg_rxn_583,False,False,False,False,False
rmg_rxn_584,False,False,False,False,False
rmg_rxn_585,False,False,False,False,False
rmg_rxn_586,False,False,False,False,False
rmg_rxn_587,False,False,False,False,False
rmg_rxn_588,False,False,False,False,False
rmg_rxn_589,False,False,False,False,False
rmg_rxn_590,False,False,False,False,False
rmg_rxn_591,False,False,False,False,False
rmg_rxn_592,False,False,False,False,False
rmg_rxn_593,False,False,False,False,False
rmg_rxn_594,False,False,False,False,False
rmg_rxn_595,False,False,False,False,False
rmg_rxn_596,False,False,False,False,False
rmg_rxn_597,False,False,False,False,False
rmg_rxn_598,False,False,False,False,False
rmg_rxn_599,False,False,False,False,False
rmg_rxn_600,False,False,False,False,False
rmg_rxn_601,False,False,False,False,False
rmg_rxn_602,False,False,False,False,False
rmg_rxn_603,False,False,False,False,False
rmg_rxn_604,False,False,False,False,False
rmg_rxn_605,False,False,False,False,False
rmg_rxn_606,False,False,False,False,False
rmg_rxn_607,False,False,False,False,False
rmg_rxn_608,False,False,False,False,False
rmg_rxn_609,False,False,False,False,False
rmg_rxn_610,False,False,False,False,False
rmg_rxn_611,False,False,False,False,False
rmg_rxn_612,False,False,False,False,False
